row	obs_hash	next_obs_hash	action	extrinsic	shaped	confidence	terminal	commit	obs_atoms	next_obs_atoms
3776	10291021139710347427	8824455996366526163	2	0.010000	0.052079	0.267103	0	0	87,91,54,256,45,49,48,57,44,50,51,55,44,49,57,44,49,50,56,44,48,44,54,54,59,65,91,51,256,52,51,44,48,44,49,50,56,59,73,91,51,256,48,44,48,44,259,69,91,51,256,48,44,49,50,56,44,49,50,56,59,77,91,53,256,49,44,49,44,49,44,49,44,264,48	87,91,54,256,45,49,48,50,44,50,51,48,44,50,54,44,49,50,56,44,48,44,54,55,59,65,91,51,256,52,51,44,48,44,49,50,56,59,73,91,51,256,48,44,48,44,259,69,91,51,256,48,44,48,44,49,50,56,59,77,91,53,256,49,44,49,44,49,44,49,44,264,48
3777	8824455996366526163	17308115267068543972	4	0.020000	0.053421	0.303075	0	0	87,91,54,256,45,49,48,50,44,50,51,48,44,50,54,44,49,50,56,44,48,44,54,55,59,65,91,51,256,52,51,44,48,44,49,50,56,59,73,91,51,256,48,44,48,44,259,69,91,51,256,48,44,48,44,49,50,56,59,77,91,53,256,49,44,49,44,49,44,49,44,264,48	87,91,54,256,45,57,48,44,50,49,56,44,51,56,44,48,44,48,44,54,56,59,65,91,51,256,56,53,44,48,44,49,50,56,59,73,91,51,256,48,44,48,44,259,69,91,51,256,48,44,48,44,49,50,56,59,77,91,53,256,49,44,49,44,49,44,49,44,264,48
3778	17308115267068543972	5803861734365024807	4	0.020000	0.024717	0.303385	0	0	87,91,54,256,45,57,48,44,50,49,56,44,51,56,44,48,44,48,44,54,56,59,65,91,51,256,56,53,44,48,44,49,50,56,59,73,91,51,256,48,44,48,44,259,69,91,51,256,48,44,48,44,49,50,56,59,77,91,53,256,49,44,49,44,49,44,49,44,264,48	87,91,54,256,45,55,55,44,50,48,53,44,53,49,44,48,44,48,44,54,57,59,65,91,51,256,56,53,44,48,44,49,50,56,59,73,91,51,256,48,44,48,44,259,69,91,51,256,48,44,48,44,49,50,56,59,77,91,53,256,49,44,49,44,49,44,49,44,264,48
3779	5803861734365024807	10310189337652907050	4	0.020000	0.021162	0.303564	0	0	87,91,54,256,45,55,55,44,50,48,53,44,53,49,44,48,44,48,44,54,57,59,65,91,51,256,56,53,44,48,44,49,50,56,59,73,91,51,256,48,44,48,44,259,69,91,51,256,48,44,48,44,49,50,56,59,77,91,53,256,49,44,49,44,49,44,49,44,264,48	87,91,54,256,45,54,52,44,49,57,50,44,54,52,44,48,44,48,44,55,259,65,91,51,256,56,53,44,48,44,49,50,56,59,73,91,51,256,48,44,48,44,259,69,91,51,256,48,44,48,44,49,50,56,59,77,91,53,256,49,44,49,44,49,44,49,44,264,48
3780	10310189337652907050	15395529683234237166	2	0.010000	0.048518	0.195036	0	0	87,91,54,256,45,54,52,44,49,57,50,44,54,52,44,48,44,48,44,55,259,65,91,51,256,56,53,44,48,44,49,50,56,59,73,91,51,256,48,44,48,44,259,69,91,51,256,48,44,48,44,49,50,56,59,77,91,53,256,49,44,49,44,49,44,49,44,264,48	87,91,54,256,45,53,56,44,49,56,54,44,55,48,44,48,44,48,44,55,49,59,65,91,51,256,52,51,44,48,44,49,50,56,59,73,91,51,256,48,44,48,44,259,69,91,51,256,48,44,48,44,49,50,56,59,77,91,53,256,49,44,49,44,49,44,49,44,264,48
3781	15395529683234237166	4298549352924032710	4	0.020000	0.008407	0.303681	0	0	87,91,54,256,45,53,56,44,49,56,54,44,55,48,44,48,44,48,44,55,49,59,65,91,51,256,52,51,44,48,44,49,50,56,59,73,91,51,256,48,44,48,44,259,69,91,51,256,48,44,48,44,49,50,56,59,77,91,53,256,49,44,49,44,49,44,49,44,264,48	87,91,54,256,45,52,53,44,49,55,51,44,56,51,44,48,44,48,44,55,51,59,65,91,51,256,56,53,44,48,44,49,50,56,59,73,91,51,256,48,44,48,44,259,69,91,51,256,48,44,48,44,49,50,56,59,77,91,53,256,49,44,49,44,49,44,49,44,264,48
3782	4298549352924032710	6563203644046779713	4	0.020000	0.047422	0.303232	0	0	87,91,54,256,45,52,53,44,49,55,51,44,56,51,44,48,44,48,44,55,51,59,65,91,51,256,56,53,44,48,44,49,50,56,59,73,91,51,256,48,44,48,44,259,69,91,51,256,48,44,48,44,49,50,56,59,77,91,53,256,49,44,49,44,49,44,49,44,264,48	87,91,54,256,45,51,50,44,49,54,48,44,57,54,44,48,44,48,44,55,52,59,65,91,51,256,56,53,44,48,44,49,50,56,59,73,91,51,256,48,44,48,44,259,69,91,51,256,48,44,48,44,49,50,56,59,77,91,53,256,49,44,49,44,49,44,49,44,264,48
3783	6563203644046779713	13700498488237610777	4	0.020000	0.018807	0.303052	0	0	87,91,54,256,45,51,50,44,49,54,48,44,57,54,44,48,44,48,44,55,52,59,65,91,51,256,56,53,44,48,44,49,50,56,59,73,91,51,256,48,44,48,44,259,69,91,51,256,48,44,48,44,49,50,56,59,77,91,53,256,49,44,49,44,49,44,49,44,264,48	87,91,54,256,45,49,57,44,49,52,55,44,49,48,57,44,48,44,48,44,55,53,59,65,91,51,256,56,53,44,48,44,49,50,56,59,73,91,51,256,48,44,48,44,259,69,91,51,256,48,44,48,44,49,50,56,59,77,91,53,256,49,44,49,44,49,44,49,44,264,48
3784	13700498488237610777	9865885981438538940	4	0.020000	0.028236	0.303035	0	0	87,91,54,256,45,49,57,44,49,52,55,44,49,48,57,44,48,44,48,44,55,53,59,65,91,51,256,56,53,44,48,44,49,50,56,59,73,91,51,256,48,44,48,44,259,69,91,51,256,48,44,48,44,49,50,56,59,77,91,53,256,49,44,49,44,49,44,49,44,264,48	87,91,54,256,45,54,44,49,51,52,44,49,50,50,44,48,44,49,50,56,44,55,54,59,65,91,51,256,56,53,44,48,44,49,50,56,59,73,91,51,256,48,44,48,44,259,69,91,51,256,48,44,48,44,49,50,56,59,77,91,53,256,49,44,49,44,49,44,49,44,264,48
3785	9865885981438538940	10832990545783933296	4	0.020000	0.027954	0.301864	0	0	87,91,54,256,45,54,44,49,51,52,44,49,50,50,44,48,44,49,50,56,44,55,54,59,65,91,51,256,56,53,44,48,44,49,50,56,59,73,91,51,256,48,44,48,44,259,69,91,51,256,48,44,48,44,49,50,56,59,77,91,53,256,49,44,49,44,49,44,49,44,264,48	87,91,54,256,54,44,49,50,50,44,49,51,52,44,48,44,49,50,56,44,55,55,59,65,91,51,256,56,53,44,48,44,49,50,56,59,73,91,51,256,48,44,48,44,259,69,91,51,256,48,44,48,44,49,50,56,59,77,91,53,256,49,44,49,44,49,44,49,44,264,48
3786	10832990545783933296	5391701146902271379	4	0.020000	0.003520	0.301755	0	0	87,91,54,256,54,44,49,50,50,44,49,51,52,44,48,44,49,50,56,44,55,55,59,65,91,51,256,56,53,44,48,44,49,50,56,59,73,91,51,256,48,44,48,44,259,69,91,51,256,48,44,48,44,49,50,56,59,77,91,53,256,49,44,49,44,49,44,49,44,264,48	87,91,54,256,49,57,44,49,48,57,44,49,52,55,44,48,44,48,44,55,56,59,65,91,51,256,56,53,44,48,44,49,50,56,59,73,91,51,256,48,44,48,44,259,69,91,51,256,48,44,48,44,49,50,56,59,77,91,53,256,49,44,49,44,49,44,49,44,264,48
3787	5391701146902271379	16024357039578916831	4	0.020000	0.030186	0.302643	0	0	87,91,54,256,49,57,44,49,48,57,44,49,52,55,44,48,44,48,44,55,56,59,65,91,51,256,56,53,44,48,44,49,50,56,59,73,91,51,256,48,44,48,44,259,69,91,51,256,48,44,48,44,49,50,56,59,77,91,53,256,49,44,49,44,49,44,49,44,264,48	87,91,54,256,51,50,44,57,54,44,49,54,48,44,48,44,48,44,55,57,59,65,91,51,256,56,53,44,48,44,49,50,56,59,73,91,51,256,48,44,48,44,259,69,91,51,256,48,44,48,44,49,50,56,59,77,91,53,256,49,44,49,44,49,44,49,44,264,48
3788	16024357039578916831	7498370073408649491	4	0.020000	0.036454	0.302639	0	0	87,91,54,256,51,50,44,57,54,44,49,54,48,44,48,44,48,44,55,57,59,65,91,51,256,56,53,44,48,44,49,50,56,59,73,91,51,256,48,44,48,44,259,69,91,51,256,48,44,48,44,49,50,56,59,77,91,53,256,49,44,49,44,49,44,49,44,264,48	87,91,54,256,52,53,44,56,51,44,49,55,51,44,48,44,48,44,56,259,65,91,51,256,56,53,44,48,44,49,50,56,59,73,91,51,256,48,44,48,44,259,69,91,51,256,48,44,48,44,49,50,56,59,77,91,53,256,49,44,49,44,49,44,49,44,264,48
3789	7498370073408649491	1390087806541702774	4	0.020000	0.023523	0.302572	0	0	87,91,54,256,52,53,44,56,51,44,49,55,51,44,48,44,48,44,56,259,65,91,51,256,56,53,44,48,44,49,50,56,59,73,91,51,256,48,44,48,44,259,69,91,51,256,48,44,48,44,49,50,56,59,77,91,53,256,49,44,49,44,49,44,49,44,264,48	87,91,54,256,53,56,44,55,48,44,49,56,54,44,48,44,48,44,56,49,59,65,91,51,256,56,53,44,48,44,49,50,56,59,73,91,51,256,48,44,48,44,259,69,91,51,256,48,44,48,44,49,50,56,59,77,91,53,256,49,44,49,44,49,44,49,44,264,48
3790	1390087806541702774	11255458247471947842	4	0.020000	0.002014	0.302479	0	0	87,91,54,256,53,56,44,55,48,44,49,56,54,44,48,44,48,44,56,49,59,65,91,51,256,56,53,44,48,44,49,50,56,59,73,91,51,256,48,44,48,44,259,69,91,51,256,48,44,48,44,49,50,56,59,77,91,53,256,49,44,49,44,49,44,49,44,264,48	87,91,54,256,55,48,44,53,56,44,49,57,56,44,48,44,48,44,56,50,59,65,91,51,256,56,53,44,48,44,49,50,56,59,73,91,51,256,48,44,48,44,259,69,91,51,256,48,44,48,44,49,50,56,59,77,91,53,256,49,44,49,44,49,44,49,44,264,48
3791	11255458247471947842	4178740011346609525	4	0.020000	0.051714	0.302405	0	0	87,91,54,256,55,48,44,53,56,44,49,57,56,44,48,44,48,44,56,50,59,65,91,51,256,56,53,44,48,44,49,50,56,59,73,91,51,256,48,44,48,44,259,69,91,51,256,48,44,48,44,49,50,56,59,77,91,53,256,49,44,49,44,49,44,49,44,264,48	87,91,54,256,56,51,44,52,53,44,50,49,49,44,48,44,48,44,56,51,59,65,91,51,256,56,53,44,48,44,49,50,56,59,73,91,51,256,48,44,48,44,259,69,91,51,256,48,44,48,44,49,50,56,59,77,91,53,256,49,44,49,44,49,44,49,44,264,48
3792	4178740011346609525	360068959701757226	4	0.020000	0.025324	0.302238	0	0	87,91,54,256,56,51,44,52,53,44,50,49,49,44,48,44,48,44,56,51,59,65,91,51,256,56,53,44,48,44,49,50,56,59,73,91,51,256,48,44,48,44,259,69,91,51,256,48,44,48,44,49,50,56,59,77,91,53,256,49,44,49,44,49,44,49,44,264,48	87,91,54,256,57,54,44,51,50,44,50,50,52,44,48,44,48,44,56,52,59,65,91,51,256,56,53,44,48,44,49,50,56,59,73,91,51,256,48,44,48,44,259,69,91,51,256,48,44,48,44,49,50,56,59,77,91,53,256,49,44,49,44,49,44,49,44,264,48
3793	360068959701757226	17650086796407302459	4	0.020000	0.028893	0.302155	0	0	87,91,54,256,57,54,44,51,50,44,50,50,52,44,48,44,48,44,56,52,59,65,91,51,256,56,53,44,48,44,49,50,56,59,73,91,51,256,48,44,48,44,259,69,91,51,256,48,44,48,44,49,50,56,59,77,91,53,256,49,44,49,44,49,44,49,44,264,48	87,91,54,256,49,48,57,44,49,57,44,50,51,55,44,49,50,56,44,48,44,56,53,59,65,91,51,256,56,53,44,48,44,49,50,56,59,73,91,51,256,48,44,48,44,259,69,91,51,256,48,44,49,50,56,44,49,50,56,59,77,91,53,256,49,44,49,44,49,44,49,44,264,48
3794	17650086796407302459	7837438420676379656	2	0.010000	0.102833	0.269430	0	0	87,91,54,256,49,48,57,44,49,57,44,50,51,55,44,49,50,56,44,48,44,56,53,59,65,91,51,256,56,53,44,48,44,49,50,56,59,73,91,51,256,48,44,48,44,259,69,91,51,256,48,44,49,50,56,44,49,50,56,59,77,91,53,256,49,44,49,44,49,44,49,44,264,48	87,91,54,256,49,49,53,44,49,51,44,50,52,51,44,49,50,56,44,48,44,56,54,59,65,91,51,256,52,51,44,48,44,49,50,56,59,73,91,51,256,48,44,48,44,259,69,91,51,256,48,44,49,50,56,44,49,50,56,59,77,91,53,256,49,44,49,44,49,44,49,44,264,48
3795	7837438420676379656	17716835374940653848	2	0.010000	0.032243	0.268367	0	0	87,91,54,256,49,49,53,44,49,51,44,50,52,51,44,49,50,56,44,48,44,56,54,59,65,91,51,256,52,51,44,48,44,49,50,56,59,73,91,51,256,48,44,48,44,259,69,91,51,256,48,44,49,50,56,44,49,50,56,59,77,91,53,256,49,44,49,44,49,44,49,44,264,48	87,91,54,256,49,50,50,44,54,44,50,53,48,44,49,50,56,44,48,44,56,55,59,65,91,51,256,52,51,44,48,44,49,50,56,59,73,91,51,256,48,44,48,44,259,69,91,51,256,49,50,56,44,49,50,56,44,49,50,56,59,77,91,53,256,49,44,49,44,49,44,49,44,264,48
3796	17716835374940653848	5333999307276171871	2	-0.990000	-0.958138	0.273165	1	0	87,91,54,256,49,50,50,44,54,44,50,53,48,44,49,50,56,44,48,44,56,55,59,65,91,51,256,52,51,44,48,44,49,50,56,59,73,91,51,256,48,44,48,44,259,69,91,51,256,49,50,56,44,49,50,56,44,49,50,56,59,77,91,53,256,49,44,49,44,49,44,49,44,264,48	87,91,54,256,49,50,56,44,48,44,50,53,54,44,49,50,56,44,48,44,56,57,59,65,91,51,256,52,51,44,48,44,49,50,56,59,73,91,51,256,48,44,48,44,259,69,91,51,256,49,50,56,44,49,50,56,44,49,50,56,59,77,91,53,256,49,44,49,44,49,44,49,44,264,49
3797	18415308252794022028	4896145274376737746	1	0.010000	0.016327	0.205602	0	0	87,91,54,256,48,44,49,50,56,44,49,50,56,44,48,44,49,50,56,44,259,65,91,51,256,48,44,49,50,56,44,49,50,56,59,73,91,51,256,48,44,48,44,259,69,91,51,256,48,44,48,44,259,77,91,53,256,49,44,49,44,49,44,49,44,264,48	87,91,54,256,45,54,44,49,51,52,44,49,50,50,44,48,44,49,50,56,44,49,59,65,91,51,256,45,52,51,44,48,44,49,50,56,59,73,91,51,256,48,44,48,44,259,69,91,51,256,48,44,48,44,259,77,91,53,256,49,44,49,44,49,44,49,44,264,48
